hindi,santali
hindi,santali
ँ,ᱝ
ं,ᱝ
ः,ᱦ
अ,ᱚ
अँगुली,ᱜᱩᱲ
अँगूठा,ᱟᱱᱜᱣᱟ
अंकल,ᱠᱟᱹᱠᱟ
अंकुर,ᱚᱧ ᱠᱞᱨᱪ
अंगुली,ᱜᱩᱲ
अंगूठा,ᱟᱱᱜᱣᱟ
अंगूठी,ᱟᱜ ᱛᱷᱤ
अंगूर,ᱫᱨᱟᱠᱥ
अंगूर छोटे हैं,ᱫᱨᱟᱜᱥᱟᱯᱷᱞᱸ ᱞᱜᱷᱩ ᱵᱷᱣᱛᱤ ᱾
अंग्रेजी विषय,ᱚᱸᱜᱨᱮᱡᱤ ᱣᱤᱥᱭ ᱾
अंजली,ᱚᱱᱡᱞᱤ
अंडमान निकोबार,ᱞᱧ ᱞᱞ ᱢ ᱳ ᱱᱞ ᱠᱳ ᱢ ᱰᱨᱠᱪᱢ ᱣ ᱯ
अंडा,ᱰᱩᱣᱞᱩ
अंडाकार,ᱚᱸᱰᱟ ᱦᱟ ᱥ
अंत भला तो सभी भला,ᱥᱨᱣᱸ ᱠᱩᱥᱞᱸ ᱛᱫ ᱥᱢᱭᱠ ᱥᱢᱟᱯᱛᱸ ᱵᱷᱣᱛᱤ᱾
अंत में,ᱚᱝᱛ ᱢᱮᱝ
अंतहीन,ᱡᱣ ᱞᱜᱥ ᱧᱲᱪᱞ ᱱᱢ ᱦ ᱢᱪ ᱠᱠᱣᱛᱠ ᱞ ᱧᱛ ᱧᱠᱞᱢ ᱩ
अंदर,ᱵᱩᱠᱛᱮ
अंदर आओ,ᱟᱜᱡᱪᱷᱛᱩ ᱤᱱ ᱾
अंदर आना,ᱵᱷᱩᱠᱛᱮ ᱦᱤᱡᱩᱜ
अकेला,ᱠᱷᱟᱲᱢ
अक्टूबर,ᱚᱠᱴᱩᱵᱮᱨ
अखबार,ᱟᱠᱦᱵᱟᱨ
अखरोट,ᱚᱠᱷᱚᱨᱣᱟᱴ
अगर,ᱚᱜᱨ
अगर तुम मेहनत करोगे तो सफल होगे,ᱭᱫᱤ ᱵᱷᱣᱱᱛᱷ ᱯᱨᱤᱥᱨᱢᱸ ᱠᱩᱨᱣᱱᱛᱤ ᱛᱨᱦᱤ ᱵᱷᱣᱱᱛᱷ ᱥᱯᱷᱞᱟᱷ ᱵᱷᱣᱤᱥᱭᱱᱛᱤ᱾
अगर नहीं तो,ᱚᱜᱨ ᱱᱦᱤᱝ ᱛᱳ
अगरतला,ᱚ ᱜᱨ ᱛ ᱞ ᱞ
अगला,ᱠᱦ ᱠᱣᱡᱠᱨ ᱪᱧ ᱧᱧᱣ ᱞ ᱞᱠ ᱟ
अगला महीना,ᱚᱜᱞᱮ ᱢᱦᱤᱱᱮ
अगला हफ्ता,ᱚᱜᱞᱮ ᱦᱚᱛᱤᱭᱟᱨ
अगले महीने,ᱠᱦ ᱞ ᱠᱞ ᱨ ᱣᱧ ᱞ ᱧᱠᱢ ᱧᱢᱮᱧᱢᱡᱧᱠᱠ
अगले सप्ताह,ᱚᱜᱟ ᱦᱟᱯᱛᱟ
अगले सप्ताह मिलेंगे,ᱚᱜᱨᱤᱢᱮ ᱥᱯᱛᱟᱦᱮ ᱵᱷᱣᱱᱛᱸ ᱯᱥᱭᱱᱛᱩ
अगले साल,ᱠᱦ ᱡᱧ ᱠ ᱞ ᱧᱢ ᱣᱠᱪᱪᱠᱜᱠᱠ ᱞᱧ
अगले हफ्ते,ᱠᱦ ᱦᱢ ᱢᱨ ᱨ ᱣ ᱞᱧᱟᱢᱡᱠᱢ ᱣ
अगस्त,ᱚᱜᱚᱥ
अग्न्याशय,ᱚᱜ
अचार,ᱟᱪᱟᱨ
अच्छा,ᱵᱷᱟᱹᱜᱤ
अच्छा किया,ᱟ ᱛᱟ ᱧᱯ ᱠᱥ ᱠ ᱣᱠ ᱠᱞᱣᱦ ᱠᱞᱜᱢ
अच्छी,ᱟ ᱛᱟ ᱧᱯ ᱠᱥ ᱞ ᱧᱪ ᱤ
अच्छी तरह,ᱟ ᱛᱟ ᱧᱯ ᱠᱥ ᱠ ᱣᱠᱠ ᱧᱞᱠᱣᱫᱠ ᱠᱣᱠ ᱠᱧᱠᱯ
